Nazwa:;Symbol:;Strefa:
Admiralska;ADMI01;A
Admiralska;ADMI02;A
Aleje Solidarnoœci;ALSO01;A
Aleje Solidarnoœci;ALSO02;A
Aleje Solidarnoœci;ALSO04;A
Aleje Solidarnoœci;ALSO41;A
Aleje Solidarnoœci;ALSO42;A
Arciszewskiego;ARCI01;A
Arciszewskiego;ARCI02;A
Arciszewskiego;ARCI41;A
Arciszewskiego;ARCI42;A
Arena;AREN41;A
Arena;AREN42;A
Armii Poznañ;ARPO01;A
Armii Poznañ;ARPO41;A
Armii Poznañ;ARPO42;A
AWF;AWF01;A
AWF;AWF02;A
AWF;AWF03;A
AWF;AWF04;A
AWF;AWF41;A
AWF;AWF42;A
AWF;AWF43;A
Azaliowa;AZAL01;A
Azaliowa;AZAL02;A
Ba³tycka;BALA01;A
Ba³tycka;BALA02;A
Ba³tycka;BALA03;A
Ba³tyk;BALT42;A
Ba³tyk;BALT71;A
Ba³tyk;BALT95;A
Baraniaka;BAKA01;A
Baraniaka;BAKA02;A
Baraniaka;BAKA03;A
Baraniaka;BAKA41;A
Baraniaka;BAKA42;A
Bergera;BERG01;A
Bergera;BERG02;A
Bêdziñska;BEDZ01;A
Bêdziñska;BEDZ02;A
Bia³a Góra;BIGO01;A
Bia³a Góra;BIGO02;A
Bia³a Góra;BIGO03;A
Bia³czañska;BIAL01;A
Bia³czañska;BIAL02;A
Bia³czañska;BIAL03;A
Biedrusko Jednostka Wojskowa;BIJDW01;B
Biedrusko Jednostka Wojskowa;BIJDW02;B
Biedrusko Jesionowa;BIJES01;B
Biedrusko Jesionowa;BIJES02;B
Biedrusko M³yn;BIMLY01;B
Biedrusko M³yn;BIMLY02;B
Biedrusko Park;BIPRK02;B
Bielniki;BIEL01;A
Bielniki;BIEL02;A
Bogucin Ba³tycka;BOBA01;A
Bogucin Ba³tycka;BOBA02;A
Bogucin Pêtla;BGPET02;B
Bohaterów Westerplatte;BOWE01;A
Bohaterów Westerplatte;BOWE02;A
Bojanowska;BOJA01;A
Bojanowska;BOJA02;A
Bolechowo-Os. Fabryka Autobusów;BOFAU01;C
Bolechowo-Os. Fabryka Autobusów;BOFAU02;C
Bolechowo-Os. Kasztanowa;BOKAS01;C
Bolechowo-Os. Kasztanowa;BOKAS02;C
Bolechowo-Os. Ogrodowa;BOOGR01;C
Bolechowo-Os. Ogrodowa;BOOGR02;C
Bolechowo-Os. Wojska Polskiego;BOWOJ01;C
Bolechowo-Os. Wojska Polskiego;BOWOJ02;C
Bonin;BONN41;A
Bonin;BONN42;A
Boranta I;BORI02;A
Boranta/Park Naukowo-Technologiczny;BORA02;A
Borówki;BORO01;A
Borówki;BORO02;A
Bo¿eny;BONY01;A
Braniewska;BRAN01;A
Braniewska;BRAN02;A
Bronisza;BRON01;A
Bronisza;BRON02;A
Brzask;BRZA01;A
Brzask;BRZA02;A
Brzechwy;BRZE01;A
Brzechwy;BRZE02;A
Brzechwy;BRZE03;A
Buczka;BUCZ01;A
Buczka;BUCZ02;A
Budziszyñska;BUDZ01;A
Budziszyñska;BUDZ02;A
Budziszyñska;BUDZ41;A
Budziszyñska;BUDZ42;A
Budziszyñska;BUDZ44;A
Bukowska;BUKO01;A
Bukowska;BUKO02;A
Bukowska;BUKO41;A
Bukowska;BUKO42;A
Bukowska I;BUKI01;A
Bukowska I;BUKI02;A
Burys³awa;BURY01;A
Burys³awa;BURY02;A
Bu¿añska;BUZA01;A
Bu¿añska;BUZA02;A
Bystra;BYST01;A
Bystra;BYST02;A
Bystra;BYST41;A
Bystra;BYST42;A
Cedrowa;CEDR01;A
Cedzyñska;CEDZ01;A
Cedzyñska;CEDZ02;A
Chartowo;CHAR01;A
Chartowo;CHAR02;A
Chartowo;CHAR04;A
Chemiczna;CHEM01;A
Chemiczna;CHEM02;A
Chemiczna;CHEM04;A
Chociszewskiego;CHOC01;A
Chociszewskiego;CHOC02;A
Chojnicka;CHKA01;A
Chojnicka;CHKA02;A
Chrzanowska;CHRZ01;A
Chrzanowska;CHRZ02;A
Chwaliszewo;CHWA01;A
Cieszyñska;CIES01;A
Cmentarna;CMNA01;A
Cmentarna;CMNA02;A
Cmentarna;CMNA41;A
Cmentarna;CMNA42;A
Czekalskie;CZEK01;A
Czekalskie;CZEK02;A
Czernichowska;CZER01;A
Czernichowska;CZER02;A
Czerwonak Cmentarz;CECME01;B
Czerwonak Elewator;CEELE01;B
Czerwonak Elewator;CEELE02;B
Czerwonak Krêta;CEKRE01;B
Czerwonak Krêta;CEKRE02;B
Czerwonak Os. 40-lecia PRL;CEPRL01;B
Czerwonak Os. 40-lecia PRL;CEPRL02;B
Czerwonak Stacja;CESTA01;B
Czerwonak Stacja;CESTA02;B
Czerwonak Szkolna;CESZK01;B
Czerwonak Szkolna;CESZK02;B
Czêstochowska;CZNZ01;A
Czêstochowska;CZNZ02;A
Cz³opska;CZKA01;A
Cz³opska;CZKA02;A
Darzybór;DARZ01;A
Darzybór;DARZ02;A
Daszewicka;DASZ01;A
Daszewicka;DASZ02;A
Dêbiec;DEEC01;A
Dêbiec;DEEC02;A
Dêbiec;DEEC03;A
Dêbiec;DEEC06;A
Dêbiec;DEEC07;A
Dêbiec;DEEC42;A
Dêbina;DENZ01;A
Dêbina;DENZ02;A
Dêbliñska;DEKA01;A
Dêbliñska;DEKA02;A
Dmowskiego;DMOW01;A
Dmowskiego;DMOW02;A
Dojazd;DOZD01;A
Dojazd;DOZD02;A
Dolna Wilda;DOWI01;A
Dolna Wilda;DOWI02;A
Droga Dêbiñska;DRDE01;A
Droga Dêbiñska;DRDE02;A
Druskienicka;DRUS01;A
Druskienicka;DRUS02;A
Dru¿ynowa;DRUZ01;A
Dru¿ynowa;DRUZ02;A
Drzewieckiego;DRZE01;A
Drzewieckiego;DRZE02;A
Drzewieckiego;DRZE41;A
Drzewieckiego;DRZE42;A
Dukielska;DUKI01;A
Dukielska;DUKI02;A
Dworzec Zachodni;DWZA02;A
Dworzec Zachodni;DWZA71;A
Dworzec Zachodni;DWZA72;A
Dziadoszañska;DZIA01;A
Dziadoszañska;DZIA02;A
Dziedzicka;DZIE01;A
Dziedzicka;DZIE02;A
Dziêgielowa;DZWA01;A
Dziêgielowa;DZWA02;A
Dziurawcowa;DUNZ01;A
Dziurawcowa;DUNZ02;A
Edwardowo;EDWA01;A
Edwardowo;EDWA02;A
Estoñska;ESTO01;A
Estoñska;ESTO02;A
Fabianowo;FABI01;A
Fabianowo;FABI02;A
Fabianowo I;FANZ01;A
Fabryka Samochodów;FASA01;A
Fabryka Samochodów;FASA02;A
Folwark Edwardowo;FOED01;A
Folwark Edwardowo;FOED02;A
Forteczna;FORT01;A
Forteczna;FORT02;A
Franowo;FRWO02;A
Franowo;FRWO42;A
Fredry;FRRY41;A
Fredry;FRRY42;A
Ga³czyñskiego;GALC01;A
Ga³czyñskiego;GALC02;A
Garaszewo;GARA02;A
Garbary;GABA01;A
